28468,28642,-1
24876,26347,-1
32631,33635,-1
31302,30878,1
19299,18382,1
30254,28931,1
20915,20005,1
14477,17850,-1
1874,1926,-1
52794,51098,1
19493,11610,1
7629,4143,1
4471,2534,1
9833,9153,1
22778,24818,-1
12818,10950,1
23770,25540,-1
31442,33016,-1
19381,19586,-1
2790,1161,1
33216,33963,-1
23037,22866,1
22248,25204,-1
20859,21288,-1
34515,33354,1
22362,22789,-1
16056,12658,1
19575,19042,1
19546,19770,-1
22564,23222,-1
24425,24427,-1
28828,29136,-1
13326,15092,-1
17914,18951,-1
31187,31089,1
15383,13534,1
14383,14131,1
6129,6391,-1
13212,14213,-1
30836,31594,-1
20561,24228,-1
43128,46651,-1
18958,20522,-1
25854,22727,1
22129,26477,-1
10132,11265,-1
16359,19123,-1
3436,4391,-1
24300,20698,1
1555,1668,-1
19623,21329,-1
13049,13823,-1
15720,17101,-1
27843,27915,-1
12297,13106,-1
22873,22654,1
27714,27563,1
1074,1350,-1
12018,10268,1
12153,8330,1
13,2,1
506,33,1
4594,4783,-1
0,0,-1
1436,1781,-1
0,0,-1
2559,2905,-1
2,1,1
50658,50621,1
10292,11449,-1
3849,4585,-1
5211,6344,-1
23773,25555,-1
26346,27358,-1
15375,16494,-1
14932,16834,-1
7333,7816,-1
12501,13375,-1
20466,21933,-1
21207,22290,-1
8304,8350,-1
23217,24270,-1
4823,5124,-1
12897,13772,-1
45113,48080,-1
10273,9233,1
37525,37541,-1
17509,17415,1
33919,35826,-1
665,947,-1
9159,8957,1
17605,17530,1
13992,13380,1
10952,12034,-1
12199,13010,-1
20283,21521,-1
17521,17772,-1
19848,20223,-1
46321,48075,-1
3180,3188,-1
14757,13584,1
10729,10847,-1
5890,6242,-1
17633,18935,-1
13803,15612,-1
12733,13443,-1
14503,13707,1
6552,8301,-1
3524,3198,1
5809,6441,-1
11426,13099,-1
10292,11068,-1
13364,13822,-1
21483,21697,-1
8811,9199,-1
21481,22902,-1
15886,16216,-1
17684,18994,-1
0,0,-1
15312,16662,-1
12720,13057,-1
9694,10369,-1
19270,20137,-1
20033,20298,-1
15936,16460,-1
17377,17776,-1
7516,8038,-1
23204,24789,-1
33320,34299,-1
23520,25492,-1
30189,32360,-1
52364,53185,-1
30738,32190,-1
7163,7703,-1
8227,8364,-1
23785,25614,-1
2101,1989,1
37203,39412,-1
12291,13166,-1
15277,16222,-1
13574,14351,-1
9935,10453,-1
7078,7106,-1
10317,11001,-1
10423,11328,-1
26315,27784,-1
29951,29711,1
9843,11272,-1
10423,13306,-1
27298,26517,1
27754,29497,-1
11944,14046,-1
0,0,-1
5462,5612,-1
20387,18960,1
15609,16422,-1
19686,20625,-1
45229,48295,-1
20717,21682,-1
15153,16328,-1
18408,19824,-1
18067,18668,-1
29425,29486,-1
9356,9775,-1
19124,20609,-1
109,8,1
0,0,-1
17421,18705,-1
15283,16432,-1
16039,18056,-1
614,777,-1
12461,13613,-1
9863,10417,-1
19434,21164,-1
3966,4449,-1
5165,5752,-1
12160,13456,-1
10120,10252,-1
13734,13851,-1
51,105,-1
9926,10534,-1
13481,13999,-1
17874,18877,-1
5432,5822,-1
11993,12236,-1
15940,17000,-1
6410,6951,-1
11123,11658,-1
10805,12025,-1
6279,6941,-1
7699,8333,-1
18084,19726,-1
15544,17521,-1
4924,5582,-1
7756,8489,-1
162,166,-1
14642,15714,-1
12511,12977,-1
12487,13222,-1
13907,12948,1
24827,25404,-1
22679,22382,1
11939,12535,-1
17838,18719,-1
12717,14181,-1
17402,17480,-1
13545,14124,-1
15819,16598,-1
16394,17314,-1
1103,1599,-1
52358,51331,1
36596,37767,-1
17130,17058,1
45786,45939,-1
30145,30109,1
25212,26535,-1
9110,9386,-1
16270,17078,-1
16086,16276,-1
23980,23827,1
14046,14676,-1
15773,16832,-1
14216,15242,-1
9854,10584,-1
17562,18483,-1
12739,13112,-1
19171,20328,-1
6641,7170,-1
9852,10306,-1
18503,11352,1
20106,20222,-1
9911,9875,1
19613,19672,-1
35095,34722,1
11277,12207,-1
25498,25647,-1
25956,25602,1
12495,12133,1
14789,16202,-1
6890,7482,-1
10040,10809,-1
5402,5969,-1
12006,12933,-1
15121,15657,-1
9115,9789,-1
18932,18248,1
8722,8751,-1
14271,14763,-1
28417,27926,1
22376,22582,-1
13635,14292,-1
0,0,-1
29486,30219,-1
37969,38602,-1
36954,37842,-1
42283,38075,1
16777,18928,-1
16859,17550,-1
8783,9492,-1
12780,13404,-1
14888,14703,1
30755,30631,1
22191,21705,1
12269,13087,-1
12498,13326,-1
42564,42476,1
26287,27726,-1
15116,15369,-1
22368,23038,-1
15881,17368,-1
15620,17122,-1
13271,14225,-1
239,237,1
18099,18276,-1
22702,23755,-1
36111,35488,1
23685,24383,-1
17509,17028,1
30521,31576,-1
15737,17382,-1
11448,12540,-1
18751,19724,-1
16438,17894,-1
12729,13209,-1
24516,26649,-1
20988,22091,-1
21721,23186,-1
15512,16902,-1
14950,15904,-1
24833,27902,-1
14486,15836,-1
16857,15868,1
8565,8198,1
3136,3084,1
2522,2372,1
17338,18195,-1
1757,1856,-1
25643,26124,-1
1052,979,1
26592,27774,-1
2585,2492,1
884,815,1
3301,875,1
4086,3907,1
1531,1543,-1
1642,1290,1
18601,20740,-1
34879,37167,-1
37804,33114,1
6695,6338,1
689,570,1
36414,38515,-1
25056,25742,-1
18711,19447,-1
1121,1017,1
9491,9419,1
263,125,1
3653,3632,1
